,last_name,first_name,full_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Legislator 1,Brown,Sherrod,Sherrod Brown,11/9/52,M,sen,OH,,Democrat,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,,,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,5051,400050,27018,Sherrod Brown,gIQA3O2w9O,29389,Sherrod Brown
Legislator 2,Cantwell,Maria,Maria Cantwell,10/13/58,F,sen,WA,,Democrat,http://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,,,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,26137,300018,27122,Maria Cantwell,gIQAZxKkDP,39310,Maria Cantwell
Legislator 3,Cardin,Benjamin,Benjamin Cardin,10/5/43,M,sen,MD,,Democrat,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,1.20422E+14,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,4004,400064,26888,Ben Cardin,gIQAGMu99O,15408,Ben Cardin
Legislator 4,Carper,Thomas,Thomas Carper,1/23/47,M,sen,DE,,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,1.24891E+14,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,663,300019,22421,Tom Carper,gIQA3bm69O,15015,Tom Carper
Legislator 5,Casey,Robert,Robert Casey,4/13/60,M,sen,PA,,Democrat,http://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,http://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,1.0775E+14,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,47036,412246,2541,"Bob Casey, Jr.",gIQABeor9O,40703,"Bob Casey, Jr."
Legislator 6,Corker,Bob,Bob Corker,8/24/52,M,sen,TN,,Republican,http://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,1.09251E+14,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825,N00027441,S310,1021114,412248,65905,Bob Corker,gIQADOuy9O,40705,Bob Corker
Legislator 7,Feinstein,Dianne,Dianne Feinstein,6/22/33,F,sen,CA,,Democrat,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,3.34887E+14,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,13061,300043,53273,Dianne Feinstein,gIQAnrCyDP,49300,Dianne Feinstein
Legislator 8,Hatch,Orrin,Orrin Hatch,3/22/34,M,sen,UT,,Republican,http://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351,N00009869,S118,189,300052,53352,Orrin Hatch,gIQAzJiz9O,14503,Orrin Hatch
Legislator 9,Klobuchar,Amy,Amy Klobuchar,5/25/60,F,sen,MN,,Democrat,http://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy,,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,83701,412242,65092,Amy Klobuchar,gIQA5G259O,40700,Amy Klobuchar
Legislator 10,McCaskill,Claire,Claire McCaskill,7/24/53,F,sen,MO,,Democrat,http://www.mccaskill.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/?p=contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,1.31498E+11,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820,N00027694,S312,1012014,412243,2109,Claire McCaskill,gIQAiqnb9O,40701,Claire McCaskill
